"Output.Type","Output","Answer.Type","Choices","Correct.Answer","Hint","Figure","Figure.Type","Video","Tag","Notes"
"text","The value for variance is very important when analyzing our data set. A low value for variance indicates that the data points tend to be located near the mean value; a high value for variance indicates that the data points are spread further from the mean.",NA,NA,NA,NA,NA,NA,NA,"variance",NA
"video","Would you like to watch a short video that goes deeper into how variance and standard deviation are calculated? ",NA,NA,NA,NA,NA,NA,"http://youtu.be/E4HAYd0QnRc","dispersion",NA
"question","Three important measures of variability are which of the following: ","multiple","mean, median, range; spread, mean, central tendency; variance, dispersion, spread; range, variance, standard deviation","range, variance, standard deviation","Look for the three specific terms that we focused on calculating. ",NA,NA,NA,"dispersion",NA
"text","A BOX PLOT, also called a BOX-AND-WHISKER PLOT, is used to summarize the main descriptive statistics of a particular data set and this type of plot helps illustrate this concept of variability. A box plot is used to visually represent the MINIMUM, FIRST QUARTILE (Q1), MEDIAN, THIRD QUARTILE (Q3), and MAXIMUM of a data set.",NA,NA,NA,NA,NA,NA,NA,"box-and-whisker plot",NA
"video","Would you like to watch a brief YouTube video on box-and-whisker plots?",NA,NA,NA,NA,NA,NA,"http://youtu.be/BXq5TFLvsVw","box-and-whisker plot",NA
"figure","Here I have created a box plot to represent the price data for each of the three car types: large, midsize, and small. You'll notice that each of the 3 figures is composed of a closed 4-sided ""box"" with ""whiskers"" on the top and bottom, hence the name box-and-whisker plot.",NA,NA,NA,NA,"mod1_boxplot.R","new",NA,"box-and-whisker plot",NA
"text","The height of each box is referred to as the INTERQUARTILE RANGE (IQR). The more variability within the data, the larger the IQR. On the other hand, less variability within the data means a smaller IQR. The bottom of the box in the box plot corresponds to the value of the first quartile (Q1), and the top of the box corresponds to the value of the third quartile (Q3). To calculate the value of the IQR, simply subtract the value of Q1 from that of Q3.",NA,NA,NA,NA,NA,NA,NA,"interquartile range",NA
"text","The whiskers, or lines, that extend above and below each box represent roughly the upper 25% and lower 25% of data points, respectively. The only exception is when there are outliers, which I'll explain shortly.",NA,NA,NA,NA,NA,NA,NA,"interquartile range",NA
"question","Looking at the box plot, what is the approximate interquartile range for the midsize vehicles?","range",NA,"16; 22","Subtract the Q1 value from the Q3 value. The Q1 value is the minimum value contained in the box and the Q3 value is the maximum value contained in the box.",NA,NA,NA,"interquartile range",NA
"text","Let's take a closer look at how quartiles are calculated. We start by sorting the data from least to greatest, just like when calculating the median. The first quartile (Q1), also known at the 25th PERCENTILE (since 25% of the data points fall at or below this value), is simply the median of the first half of the sorted data. Likewise, the third quartile (Q3), also known as the 75th percentile, is the median of the second half of the sorted data.",NA,NA,NA,NA,NA,NA,NA,"interquartile range",NA
"figure","As shown in this plot, the blue horizontal line illustrates how to find the value for the first quartile. The green horizontal line illustrates how to find the value for the third quartile. The interquartile range is the range of data values that is contained in between these two lines.",NA,NA,NA,NA,"mod1_boxplot_add.R","addition",NA,"interquartile range",NA
"figure","Look again at our box plot of price vs. car type. You may be thinking to yourself, 'What is that circle above the box plots for the midsize cars, and why is there no circle above the box plot for the large cars?' Those circles represent OUTLIERS in the data set. ",NA,NA,NA,NA,"mod1_boxplot.R","new",NA,"outlier",NA
"figure","An OUTLIER is an observation that is unusual or extreme relative to the other values in the data set. Outliers are useful in identifying a heavy skew in a distribution, and may signify a data collection or data entry error to a scientist. There are many different conventions for identifying outliers within a data set.",NA,NA,NA,NA,"mod1_boxplot.R","new",NA,"outlier",NA
"question","When looking at the box plot, which car types appear to have outliers? Separate your answers with a comma.","text",NA,"small, midsize","Look for the types of cars that correspond to the box plots with circles above or below them.",NA,NA,NA,"outlier",NA
"figure","As you can see in the box plot, the data for prices of 'midsize' cars vary from around 15 to 62, encompassing a range of approximately 50. This is a great deal larger than the variation for 'small' cars which range from around 5 to 15, encompassing a range of approximately 10. Therefore, since the range is much greater for 'midsize' cars, prices of 'midsize' cars have much higher variability in comparison to the prices of 'small' cars.",NA,NA,NA,NA,"mod1_boxplot.R","new",NA,"variability",NA
"question","Now it is your turn! Is the variability of prices of cars of type 'large' higher or lower than that of cars of type 'small'?","text",NA,"higher","Look to see if the range of cars of type 'large' is greater or less than that of cars of type 'small'.",NA,NA,NA,"variability",NA
"text","You have officially mastered the concept of dispersion and have fully learned how to read and interpret a box-and-whisker plot. These are two very valuable tools used everyday in descriptive statistics. Congratulations! In the next module, you will learn about data visualization. ",NA,NA,NA,NA,NA,NA,NA,NA,NA
