Class,Output,CorrectAnswer,AnswerChoices,AnswerTests,Hint,Figure,FigureType,VideoLink
cmd_question,Can you guess the type of z1? Use `typeof()` to see if you're right.,typeof(z1),,,,,,
text,"So z1 is of type ""double"". This may or may not be what you expected, but there is a method to the madness and it's called ""coersion"".",,,,,,,
text,"The elements of an atomic vector must all be of the same type. When you mix different types as we did above, R finds the type that is the ""lowest common denominator"". In other words, it must figure out a single type that is capable of expressing all elements of the new vector without losing too much information. Let's play with some more examples until you get the hang of this concept.",,,,,,,
cmd_question,"In R, text data is stored as strings of characters enclosed in double quotes. Create a new variable called `charVect` that contains your name.","charVect <- ""Nick""",,,,,,
cmd_question,Print the contents of `charVect`.,charVect,,,,,,
cmd_question,Now check it's type.,typeof(charVect),,,,,,
cmd_question,"Now combine z1 and charVect and assign the result to z2 with `z2 <- c(z1, charVect)`.","z2 <- c(z1, charVect)",,,,,,
mult_question,What do you think will be the result of typeof(z2)?,"""character""","""character""; ""numeric""; ""integer""; ""raw""",,,,,
cmd_question,View the contents of z2.,z2,,,,,,
cmd_question,"All of the numbers in z2 have double quotes around them because R is now storing them as character strings. Confirm that z2 is of type ""character"".",typeof(z2),,,,,,
text,"In this example, we attempted to mix a double (or numeric) vector with a character vector and we got a character vector. The reason for this is that we can easily represent numbers as character strings (e.g. the number 3 becomes the character ""3""), but there's no straightforward way to represent your name as number.",,,,,,,
cmd_question,Let's play with a few more examples to get a better grasp of R's coersion rules. Create a logical vector called logVect that contains one TRUE and one FALSE. It's important that TRUE and FALSE are capitalized.,"logVect <- c(TRUE, FALSE)",,,,,,
cmd_question,View the contents of logVect.,logVect,,,,,,
cmd_question,Now let's mix our numeric and logical vectors and see what happens. Create a vector called z3 that combines numVect and logVect.,"z3 <- c(numVect, logVect)",,,,,,
cmd_question,Type `z3` to take a look at the result.,z3,,,,,,
text,"Notice that instead of TRUE and FALSE, the last two entries of z3 are 1 and 0. This is because R's numeric representations of TRUE and FALSE are 1 and 0, respectively. Since numVect is already an atomic vector of type double, it's easy for R to use the numeric represenation of logVect, so that the elements of z3 are all the same type.",,,,,,,
mult_question,What will be the result of `typeof(z3)`?,"""double""","""double""; ""integer""; ""character""; ""logical""",,,,,
cmd_question,Use `typeof()` to confirm that z3 is of type double.,typeof(z3),,,,,,
cmd_question,Let's combine logVect and charVect to create a new atomic vector called z4. ,"z4 <- c(logVect, charVect)",,,,,,
mult_question,What do you think will be the result of typeof(z4)?,"""character""","""double""; ""integer""; ""character""; ""logical""",,Is it easier to represent logical values (TRUE and FALSE) as character strings or to represent character strings as logical values?,,,
cmd_question,"To see the entire ""chain of command"" that R uses for coersion, open the help file for the `c()` function by typing `?c`.",?c,,,,,,
text,"The first sentence of the Details section outlines the hierarchy for coersion: NULL < raw < logical < integer < double < complex < character < list < expression. You may not recognize all of the elements of this hierachy yet, but you can at least see how R ranks the types we've discussed.",,,,,,,
text,"The `?` function can be used to bring up the help file for any function and will become your best friend as you become a better programmer. Anytime you need it, just type ?function_name_here, and the help file for that function will pop right up.",,,,,,,
