"Class","Output","CorrectAnswer","AnswerChoices","AnswerTests","Hint","Figure","FigureType","VideoLink"
"mult_question","`(TRUE == TRUE) | (TRUE == FALSE)`","`TRUE`","`TRUE`; `FALSE`","word=`TRUE`","Break this problem down into 2 pieces. The `|` in the middle states that AT LEAST ONE of the pieces is `TRUE`. Your job is to figure out if that is an accurate statement. If so, the entire condition is `TRUE`. If not, it's `FALSE`.",NA,NA,NA
"mult_question","`((111 >= 111) | !(TRUE)) & ((4 + 1) == 5)`","`TRUE`","`TRUE`; `FALSE`","word=`TRUE`","This is a tricky one. Remember that the `!` symbol negates whatever comes after it. There's also an ""order of operations"" going on here. Conditions that are enclosed within parentheses should be evaluated first. Then, work your way outwards.",NA,NA,NA
"text","Don't worry if you found these to be tricky. They're supposed to be. Working with logical statements in R takes practice, but your efforts will be rewarded in future lessons (e.g. subsetting and control structures).",NA,NA,NA,NA,NA,NA,NA
"text","Character vectors are also very common in R. Double quotes are used to distinguish character objects, as in the following example.",NA,NA,NA,NA,NA,NA,NA
"cmd_question","Create a character vector that contains the following words: ""My"", ""name"", ""is"". Remember to enclose each word in it's own set of double quotes, so that R knows they are character strings. Store the vector in a variable called `my_char`.","my_char <- c(""My"", ""name"", ""is"")",NA,"expr_identical=my_char <- c(""My"", ""name"", ""is"")","Type `my_char <- c(""My"", ""name"", ""is"")` to create a new variable called `my_char` that contains a character vector of length 3. Make sure that the commas separating the words are OUTSIDE of the double quotes, or else R thinks the commas are part of the words.",NA,NA,NA
"cmd_question","Print the contents of `my_char` to see what it looks like.","my_char",NA,"expr_identical=my_char","Type `my_char` to view its contents.",NA,NA,NA
"text","Right now, `my_char` is a character vector of length 3. Let's say we want to join the elements of `my_char` together into one continuous character string (i.e. a character vector of length 1). We can do this using the `paste()` function.",NA,NA,NA,NA,NA,NA,NA
"cmd_question","Type `paste(my_char, collapse = "" "")` now. Make sure there's a space between the double quotes in the `collapse` argument. You'll see why in a second.","paste(my_char, collapse = "" "")",NA,"expr_identical=paste(my_char, collapse = "" "")","Use `paste(my_char, collapse = "" "")` to collapse the words in the vector so they almost form a sentence. There should be a single space between the double quotes in the `collapse` argument so that there are single spaces separating the words.",NA,NA,NA
"text","The `collapse` argument to the `paste()` function tells R that when we join together the elements of the `my_char` character vector, we'd like to separate them with single spaces.",NA,NA,NA,NA,NA,NA,NA
"text","It seems that we're missing something.... Ah, yes! Your name!",NA,NA,NA,NA,NA,NA,NA
"cmd_question","To add (or ""concatenate"") your name to the end of `my_char`, use the `c()` function like this: `c(my_char, ""your_name_here"")`. Place your name in double quotes where I've put ""your_name_here"". Try it now, storing the result in a new variable called `my_name`.","my_name <- c(my_char, ""swirl"")",NA,"is_a=character, my_name; uses_func=c; creates_var=my_name; val_length=4","Tack your name on to the end of the `my_char` vector using the `c()` function.  Be sure to assign the result to a new variable called `my_name`. If your name was ""swirl"", you would type `my_name <- c(my_char, ""swirl"")`.",NA,NA,NA
"cmd_question","Take a look at the contents of `my_name`.","my_name",NA,"expr_identical=my_name","Type `my_name` and press Enter to view the contents of this variable.",NA,NA,NA
"cmd_question","Now, use the `paste()` function once more to join the words in `my_name` together into a single character string. Don't forget to say `collapse = "" ""`!","paste(my_name, collapse = "" "")",NA,"expr_identical=paste(my_name, collapse = "" "")","Use `paste(my_name, collapse = "" "")` to join all four words together, separated by single spaces.",NA,NA,NA
"text","In this example, we used the `paste()` function to collapse the elements of a single character vector. `paste()` can also be used to join the elements of multiple character vectors.",NA,NA,NA,NA,NA,NA,NA
"cmd_question","In the simplest case, we can join two character vectors that are each of length 1 (i.e. join two words). Try `paste(""Hello"", ""world!"", sep = "" "")`, where the `sep` argument tells R that we want to separate the joined elements with a single space.","paste(""Hello"", ""world!"", sep = "" "")",NA,"expr_identical=paste(""Hello"", ""world!"", sep = "" "")","Enter `paste(""Hello"", ""world!"", sep = "" "")` to join the two words ""Hello"" and ""world"", separated by a single space. There should be a single space between the double quotes in the `sep` argument to the `paste()` function.",NA,NA,NA
"cmd_question","For a slightly more complicated example, we can join two vectors, each of length 3. Use `paste()` to join the numeric vector `1:3` (recall this is the same as `c(1, 2, 3)`) with the character vector `c(""X"", ""Y"", ""Z"")`. This time, use `sep = """"` to leave no space between the joined elements.","paste(1:3, c(""X"", ""Y"", ""Z""), sep = """")",NA,"expr_identical=paste(1:3, c(""X"", ""Y"", ""Z""), sep = """")","Use `paste(1:3, c(""X"", ""Y"", ""Z""), sep = """")` to see what happens when we join two vectors of equal length using `paste()`.",NA,NA,NA
"text","What do you think will happen if our vectors are of different length? (Hint: we talked about this in a previous lesson.)",NA,NA,NA,NA,NA,NA,NA
"cmd_question","Vector recycling! Try `paste(LETTERS, 1:4, sep = ""-"")`, where `LETTERS` is a predefined variable in R containing a character vector of all 26 letters in the English alphabet.","paste(LETTERS, 1:4, sep = ""-"")",NA,"expr_identical=paste(LETTERS, 1:4, sep = ""-"")","Type `paste(LETTERS, 1:4, sep = ""-"")` to see how R recycles the vector 1:4 to  match the length of `LETTERS`. Notice we are using `-` as our separator this time instead of a single space.",NA,NA,NA
"text","Since the character vector `LETTERS` is longer than the numeric vector `1:4`, R simply recycles, or repeats, `1:4` until it matches the length of `LETTERS`.",NA,NA,NA,NA,NA,NA,NA
"text","Also worth noting is that the numeric vector `1:4` gets ""coerced"" into a character vector by the `paste()` function.",NA,NA,NA,NA,NA,NA,NA
"text","We'll discuss coercion in another lesson, but all it really means that the numbers 1, 2, 3, and 4 in the output above are no longer numbers to R, but rather characters ""1"", ""2"", ""3"", and ""4"".",NA,NA,NA,NA,NA,NA,NA
