"OutputType","Output","AnswerType","AnswerChoices","CorrectAnswer","Hint","Figure","FigureType","VideoLink","Tag","Notes","Class","AnswerTests"
"question","Now try accessing the 'driveTrain' variable from the 'cars' dataset using the 'dataset$variable' notation. ","command",NA,"cars$driveTrain","Use 'dataset$variable' notation. Remember the name of our dataset is 'cars' and the name of the variable we are interested in is 'driveTrain'.",NA,NA,NA,"R-command",NA,"cmd_question","swirl1cmd=cars$driveTrain"
"question","Now store the contents of the 'cars$mpgCity' in a new variable called 'myMPG'.","command",NA,"myMPG <- cars$mpgCity","Use the assignment operator to assign 'cars$mpgCity' to a new variable called 'myMPG'.",NA,NA,NA,"R-command",NA,"cmd_question","swirl1cmd=myMPG <- cars$mpgCity"
"question","Further, store the contents of the 'cars$driveTrain' in a new variable called 'myDrive'.","command",NA,"myDrive <- cars$driveTrain","Use the assignment operator to assign 'cars$driveTrain' to a new variable called 'myDrive'.",NA,NA,NA,"R-command",NA,"cmd_question","swirl1cmd=myDrive <- cars$driveTrain"
"text","The ARITHMETIC MEAN, or simply the MEAN or AVERAGE, is the most common measurement of central tendency. To calculate the mean of a dataset, you first sum all of the values and then divide that sum by the total number of values in the dataset.",NA,NA,NA,NA,NA,NA,NA,"mean",NA,"text",NA
"text","However, when there are many values of interest, it becomes tedious to do this calculation by hand. Luckily R has a built-in function for computing the mean. The syntax for doing so is 'mean(variable)'.",NA,NA,NA,NA,NA,NA,NA,"mean",NA,"text",NA
"question","Compute the mean value for the 'myMPG' variable now.","command",NA,"mean(myMPG)","Use the 'mean' function by typing 'mean' followed by the name of your variable placed in parentheses. Don't use any spaces.",NA,NA,NA,"mean",NA,"cmd_question","swirl1cmd=mean(myMPG)"
"question","Also, try to compute the mean value for the 'myDrive' variable now.","command",NA,"mean(myDrive)","The function 'mean' applies only to numeric data. Type '?mean' to continue.",NA,NA,NA,"mean",NA,"cmd_question","trick=mean(myDrive)"
"text","Extreme values in our dataset can have a significant influence on the mean. For instance, if there was a car in our dataset that got 200 miles per gallon, this would inflate the mean upwards. This could be misleading since none of the other cars get anywhere near this gas mileage.",NA,NA,NA,NA,NA,NA,NA,"mean",NA,"text",NA
"text","An alternative to the mean, which is not influenced at all by extreme values, is the MEDIAN. The median is computed by sorting all values from least to greatest and then selecting the middle value. If there is an even number of values, then there are actually 2 middle values. In this case, the MEDIAN is equal to the MEAN of the 2 middle values. Don't worry if this is a little confusing. It will become more clear with practice.",NA,NA,NA,NA,NA,NA,NA,"median",NA,"text",NA
"question","R also has a function for computing the median of a dataset and this is done by typing 'median(variable)'. Find the median value of your 'myMPG' variable now.","command",NA,"median(myMPG)","Use the 'median' function by typing 'median' followed by the name of your variable placed in parentheses. Don't use any spaces.",NA,NA,NA,"median",NA,"cmd_question","swirl1cmd=median(myMPG)"
"question","Second, find the median value of your 'myDrive' variable now.","command",NA,"median(myDrive)","Like the function 'mean', the function 'median' must have NUMERIC data. Type ?median to continue.",NA,NA,NA,"median",NA,"cmd_question","trick=median(myDrive)"
"text","Finally, we may be most interested in finding the value that shows up the most in our dataset. In other words, what the most common value in our dataset? This is called the MODE and it is found by counting the number of times that each value appears in the dataset and selecting the most frequent value.",NA,NA,NA,NA,NA,NA,NA,"mode",NA,"text",NA
"question","Use the 'table' function to see how many times each value appears for your 'myMPG' variable. The syntax for this function is the same as for the others you've seen.","command",NA,"table(myMPG)","Type 'table' followed by your variable name placed in parentheses. As usual, leave out the spaces.",NA,NA,NA,"mode",NA,"cmd_question","swirl1cmd=table(myMPG)"
"question","Now, try using the 'table' function on your 'myDrive' variable.","command",NA,"table(myDrive)","Type 'table' followed by your variable name placed in parentheses. As usual, leave out the spaces.",NA,NA,NA,"mode",NA,"cmd_question","swirl1cmd=table(myDrive)"
"question","Look at your table for the 'myMPG' variable that you created above. The first row gives you the value of your variable and the second row gives you the number of times it appears in your dataset. Since the mode is the value of our variable that appears most frequently, what is the mode of your 'myMPG' variable?","exact",NA,"19","Keep in mind that the mode is the value of the variable that is most common, NOT the number of times which it appears.",NA,NA,NA,"mode",NA,"exact_question","exact=19"
"question","This time look at your table for your 'myDrive' variable. What is the mode of your 'myDrive' variable?","text",NA,"front","Keep in mind that the mode is the value of the variable that is most common, NOT the number of times which it appears.",NA,NA,NA,"mode",NA,"text_question","word=front"
"text","Congratulations! You've made it through your first lesson. We introduced basic concepts related to data and data analysis. Specifically, you learned three important measures of central tendency: mean, median, and mode. You also know how to compute these using R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"text",NA
